# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = binomial_glm_model
# start_datetime = 2023-01-28 03:22:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = binGLM.Data.list.dump.R
# init = 2 (Default)
# random
#   seed = 110710
# output
#   file = output_2.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11
# Adaptation terminated
# Step size = 0.171351
# Diagonal elements of inverse mass matrix:
# 0.0680386, 0.126595, 0.0897504, 0.023853, 0.108287, 0.228541, 0.110284, 0.143506, 0.256485, 0.133517, 0.227386
-486.118,0.974619,0.171351,4,15,0,493.472,-1.17721,1.1859,1.83477,-1.72945,1.0162,4.13103,-0.546553,-0.492839,-1.67606,-0.319005,-1.61368
-494.092,0.910602,0.171351,4,15,0,497.663,-1.38308,1.59594,2.26109,-1.87452,1.13085,3.61227,-0.670314,-1.16742,-1.22139,-0.152839,-2.06947
-490.229,0.997112,0.171351,5,31,0,496.597,-1.31953,1.61482,2.08799,-1.9103,1.13368,3.7592,-0.886746,-0.840105,-1.30235,-0.406695,-1.92195
-485.327,0.990882,0.171351,4,15,0,492.454,-1.57417,1.08505,2.16099,-1.57182,1.60711,3.98383,-0.545659,-0.582171,-1.66036,-0.707206,-1.19458
-487.865,0.906875,0.171351,4,15,0,489.696,-1.53319,1.33596,2.04379,-1.3681,1.25029,4.1026,-0.558987,-0.77505,-1.86177,-0.491678,-2.06017
-489.292,0.678342,0.171351,3,15,0,494.322,-1.70841,0.854517,2.31361,-1.52552,1.19652,4.20586,-0.523853,-0.400771,-1.48532,-0.533722,-1.57328
-491.33,0.975028,0.171351,3,7,0,496.666,-1.3076,0.940455,2.42562,-1.47741,1.35217,4.29538,-1.0079,-0.341031,-1.7234,-0.84235,-1.7901
-491.974,0.861573,0.171351,4,23,0,495.711,-1.74653,1.54327,2.16993,-1.72433,1.05398,3.61494,-0.578789,-0.540908,-1.23058,-0.471111,-1.54901
-489.596,0.987741,0.171351,5,31,0,499.947,-0.939817,0.462394,1.57917,-1.35799,0.786811,3.47864,-0.420697,-0.321403,-1.1155,0.125247,-1.04611
-487.871,0.981065,0.171351,5,31,0,493.862,-1.49294,0.573759,2.35909,-1.69323,1.62555,3.85454,-0.428267,0.000768205,-0.875,-1.17063,-1.38366
-488.145,0.75591,0.171351,5,31,0,493.338,-1.41731,0.871553,1.93722,-1.30771,1.12257,3.83075,-0.400264,-0.432934,-0.782619,-0.442217,-1.62026
-485.722,0.895185,0.171351,5,47,0,490.283,-1.2565,0.996472,1.88216,-1.52718,1.13969,3.38233,-0.394187,-0.51141,-1.40793,-0.637713,-0.672914
-485.985,0.961098,0.171351,4,15,0,490.458,-1.25077,1.32435,1.70345,-1.47737,0.998154,3.93299,-0.676373,-0.5632,-1.96187,-0.119548,-1.02405
-487.657,0.622334,0.171351,5,63,0,492.79,-1.53487,1.33677,2.17084,-1.60302,1.41322,4.38177,-0.663862,-0.60169,-2.49668,-0.596611,-0.794948
-488.31,0.97721,0.171351,5,31,0,489.967,-1.17635,0.527905,1.89572,-1.4983,1.27341,2.80187,-0.377612,-0.210553,-0.187208,-0.884826,-1.11193
-487.596,0.999059,0.171351,5,31,0,491.285,-1.17754,0.523612,2.14883,-1.56774,0.947601,3.03474,-0.309039,0.219341,-0.191607,-0.712646,-1.6695
-487.709,0.991471,0.171351,5,31,0,491.947,-1.72257,1.52076,2.54204,-1.53755,1.26936,4.23225,-1.38501,-0.482142,-1.93514,-0.466853,-1.19511
-486.71,0.913935,0.171351,4,15,0,493.288,-1.49779,1.4752,2.32373,-1.49149,1.24793,4.06808,-1.02245,-0.610225,-1.99703,-0.80076,-1.17653
-488.53,0.614301,0.171351,4,31,0,497.205,-1.52592,1.20019,1.79118,-1.59324,1.04766,3.97255,-0.287639,-0.534891,-1.53429,-0.0277061,-1.29553
-488.736,0.992749,0.171351,4,31,0,497.164,-1.4984,1.00594,1.69504,-1.46312,1.20784,4.22926,-0.167881,-0.499333,-1.62924,-0.153341,-1.20128
-486.799,0.982113,0.171351,4,31,0,490.712,-1.21645,0.838541,1.80768,-1.44643,1.03164,4.1056,-0.234449,-0.352454,-2.01439,-0.242361,-1.24459
-487.531,0.952221,0.171351,5,31,0,490.324,-1.69091,1.17425,2.40019,-1.67323,1.48926,3.34529,-0.69367,-0.273904,-0.981953,-0.96775,-1.20535
-490.387,0.915941,0.171351,5,31,0,494.111,-1.99842,1.97142,2.35026,-1.51794,1.4982,4.52282,-0.852241,-1.09386,-2.18292,-0.422065,-1.53378
-488.384,0.990049,0.171351,5,31,0,495.117,-1.87776,1.27014,2.72435,-1.49785,1.46201,3.52229,-0.804006,-0.4086,-1.23788,-1.03884,-1.18921
-486.007,0.945936,0.171351,4,31,0,494.272,-1.11412,0.882945,1.87588,-1.64899,1.29887,3.86016,-0.485482,-0.401752,-1.51339,-0.634239,-1.46778
-489.456,0.964293,0.171351,4,23,0,491.008,-1.83171,1.2019,2.33242,-1.45861,1.35724,3.77976,-0.24341,-0.282565,-1.50681,-0.809505,-1.4908
-489.137,0.865555,0.171351,3,15,0,497.047,-1.77389,1.08539,2.26697,-1.39724,1.49782,3.40003,-0.312405,-0.311022,-0.609749,-0.839082,-1.39667
-488.239,1,0.171351,5,31,0,491.976,-0.840087,0.70185,1.50023,-1.72424,0.893037,3.729,-0.40701,-0.257166,-1.41819,0.0592616,-0.92255
-489.746,0.911337,0.171351,5,31,0,497.608,-1.8992,0.825114,2.62983,-1.5875,1.83595,4.34966,-0.469148,-0.374326,-0.793492,-1.02992,-2.07813
-488.003,0.90435,0.171351,5,31,0,492.538,-1.50586,0.936107,2.5733,-1.47812,1.2832,4.17744,-0.713497,-0.232601,-1.64084,-1.21085,-1.75201
-487.918,0.954911,0.171351,5,31,0,491.564,-1.64887,1.02694,1.92737,-1.53559,1.60828,4.60758,-0.22002,-0.696685,-1.89415,-0.587844,-1.65297
-486.382,0.977624,0.171351,3,7,0,489.234,-1.54856,0.997693,2.21874,-1.56203,1.54983,4.19728,-0.295949,-0.659451,-1.92301,-0.907936,-1.78846
-486.265,1,0.171351,4,31,0,490.02,-1.31292,1.14511,1.70693,-1.62983,1.31344,3.83978,-0.277262,-0.63844,-1.54658,-0.667831,-1.2588
-487.218,0.916032,0.171351,5,31,0,490.515,-1.65083,1.28679,2.5736,-1.53495,1.20471,3.74016,-1.09975,-0.325019,-1.48155,-0.606585,-0.898894
-487.944,0.953721,0.171351,5,31,0,490.754,-1.1884,0.759054,1.84429,-1.62251,1.50009,3.36905,0.073204,-0.765964,-0.994175,-0.732273,-1.23899
-485.909,0.954262,0.171351,4,15,0,493.439,-1.16442,0.527019,1.99782,-1.42849,1.02029,3.65292,-0.43113,-0.183207,-1.10167,-0.490018,-1.44906
-485.211,0.987611,0.171351,5,31,0,490.454,-1.68124,1.47087,2.19092,-1.53935,1.51489,3.85361,-0.755083,-0.716429,-1.73469,-0.711638,-1.09382
-485.408,0.933718,0.171351,4,31,0,489.196,-1.57052,1.31195,2.2159,-1.52173,1.43263,3.97517,-0.699502,-0.628409,-1.97162,-0.611694,-1.03551
-487.911,0.881657,0.171351,4,15,0,491.021,-1.39682,1.67637,2.08151,-1.77407,1.30823,3.83726,-0.979842,-1.07294,-2.08171,-0.237011,-1.042
-488.511,0.94788,0.171351,5,31,0,491.228,-1.60996,0.513402,2.23933,-1.26196,1.48557,3.80176,-0.197566,0.113443,-1.0739,-1.30973,-1.76462
-492.294,0.944633,0.171351,5,31,0,496.843,-1.24708,1.21207,1.83316,-1.73834,0.766239,4.82999,-0.961991,-0.103337,-2.7981,0.00368855,-0.523187
-490.882,0.968175,0.171351,4,15,0,499.587,-0.950474,1.36179,1.56639,-1.74516,0.64306,4.14118,-0.552204,-0.739234,-2.58512,0.181993,-0.657539
-488.112,0.892059,0.171351,4,15,0,496.466,-1.32007,1.58336,1.75961,-1.65666,0.752571,3.68189,-1.0085,-0.426744,-1.8361,0.0143533,-0.792815
-488.723,0.930762,0.171351,5,31,0,495.379,-1.11762,0.560793,1.8508,-1.48882,0.838084,3.31687,0.129947,-0.326503,-0.690057,-0.537018,-1.47354
-491.702,0.675782,0.171351,5,31,0,497.256,-1.42897,0.643768,2.26157,-1.34277,1.48563,4.15357,-0.364668,-0.255437,-0.904303,-0.86411,-1.67003
-487.569,1,0.171351,4,31,0,492.851,-1.39846,1.16626,1.95313,-1.62495,1.17828,3.46801,-0.36182,-0.361952,-1.10978,-0.876645,-1.01262
-488.561,0.999927,0.171351,4,15,0,491.287,-1.19573,0.809385,1.70128,-1.70689,1.50998,3.98651,-0.16398,-0.727264,-0.958582,-0.569178,-1.8713
-489.527,0.974808,0.171351,5,31,0,494.108,-1.11492,0.845029,1.65655,-1.59005,0.869414,4.15178,0.198062,-0.344349,-2.01254,-0.510447,-1.31522
-490.437,0.826422,0.171351,4,31,0,492.533,-1.17879,0.789903,1.59091,-1.60588,0.883331,4.11969,0.194821,-0.339895,-1.96985,-0.546756,-1.37015
-490.965,0.952199,0.171351,5,31,0,495.749,-1.45174,0.703933,2.09534,-1.58086,0.903349,2.88664,-0.377583,0.0584963,-0.040082,-0.56439,-1.62381
-487.713,0.984187,0.171351,4,31,0,496.229,-1.69235,1.2318,2.23595,-1.50405,1.61135,4.02594,-0.71465,-0.776666,-1.94464,-0.912835,-1.29616
-488.592,0.973628,0.171351,4,31,0,493.656,-1.37065,1.43643,2.15761,-1.6379,1.56585,4.17251,-0.708345,-0.868778,-1.77942,-0.84368,-1.5376
