# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = binomial_glm_model
# start_datetime = 2023-01-28 03:20:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = binGLM.Data.list.dump.R
# init = 2 (Default)
# random
#   seed = 4253945772 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11
# Adaptation terminated
# Step size = 0.179656
# Diagonal elements of inverse mass matrix:
# 0.0682771, 0.133627, 0.0883122, 0.0290179, 0.109453, 0.253552, 0.130899, 0.129822, 0.293526, 0.123081, 0.216768
-488.457,0.941477,0.179656,4,31,0,492.557,-1.41918,0.613624,1.79462,-1.50359,1.41392,4.03217,-0.227613,-0.0727193,-1.41469,-0.762181,-0.904866
-489.49,0.87646,0.179656,4,15,0,497.595,-1.38941,0.475702,2.01343,-1.13292,1.43392,3.56118,-0.204544,-0.364667,-1.00859,-0.822156,-1.11309
-487.849,0.915382,0.179656,4,23,0,499.527,-1.48725,0.629501,2.13186,-1.49336,1.232,3.49958,-0.17321,0.248266,-0.618865,-1.13518,-1.72087
-487.305,0.984295,0.179656,5,31,0,491.055,-1.55689,1.55823,1.96127,-1.55017,1.28795,3.90601,-0.579696,-0.720841,-1.60294,-0.446967,-1.80451
-487.101,0.864827,0.179656,5,63,0,490.793,-1.47593,1.04997,2.25935,-1.50635,1.3938,3.54578,-0.645461,-0.131888,-1.42509,-0.89827,-0.92939
-487.422,0.626008,0.179656,4,15,0,492.551,-1.55871,1.22928,1.90534,-1.54261,1.39779,3.75942,-0.287867,-0.847585,-1.01249,-0.416441,-1.7401
-488.658,0.973865,0.179656,4,31,0,491.293,-1.62425,1.32559,2.00619,-1.48249,1.43602,3.26958,-0.199881,-0.849253,-1.06832,-0.523501,-1.49071
-490.628,0.997354,0.179656,5,31,0,495.973,-0.839318,0.849939,1.48149,-1.54812,1.05316,2.82175,-0.713203,-0.507146,-1.18134,-0.128909,-0.178265
-489.295,0.677713,0.179656,4,15,0,495.934,-1.20683,0.964585,1.75125,-1.45411,0.709644,3.3125,-0.114256,-0.159579,-1.37101,-0.0831359,-1.45406
-491.707,0.89383,0.179656,5,31,0,495.212,-1.293,0.965914,2.27326,-1.63298,1.14129,3.98601,-0.996351,-0.337467,-0.950948,-0.89706,-2.08607
-486.315,0.78482,0.179656,5,31,0,502.778,-1.12959,1.09139,1.63621,-1.35889,0.82754,3.33752,-0.381813,-0.35183,-1.45165,-0.24297,-1.1765
-487.502,0.95868,0.179656,5,31,0,489.878,-1.52099,1.41731,2.47504,-1.70354,1.40583,3.86504,-0.885071,-0.710227,-1.92064,-0.846218,-1.08873
